32
110
590
589
4226
1221
480
608
1
2762
1222
1197
318
4993
6
858
7153
2028
6539
4886
527
593
296
1193
356
364
2571
1101
1240
648
1036
165
2858
1580
79132
1270
50
1291
912
457
4306
1198
1210
3578
260
1196
1246
1258
150
541
1610
"(32, 589)"
"(589, 1196, 2571)"
"(589, 1210, 2571)"
"(589, 1291, 2571)"
"(589, 2028, 2571)"
"(593, 1210, 2571)"
"(593, 2028, 2571)"
"(858, 1196, 1210)"
"(858, 1210, 2028)"
"(858, 1210, 2571)"
"(858, 1221, 2028)"
"(858, 1221, 2571)"
"(858, 2028, 2571)"
"(1196, 1198, 1210)"
"(1196, 1210, 2571)"
"(1197, 2028, 2571)"
"(1198, 1210, 2571)"
"(1210, 1291, 2571)"
"(1210, 2028, 2571)"
"(1210, 2571, 3578)"
